lat,lon,ghi_pvgis_kwh_m2_day,pvout_kwh_kwp,optimal_tilt_deg
51.65,0.05000000000000071,2.941095890410959,850.34,0.0
51.65,0.3000000000000007,2.9820547945205482,863.09,0.0
51.65,0.5500000000000007,3.046876712328767,885.04,0.0
51.65,0.8000000000000007,3.14241095890411,916.93,0.0
51.65,1.0500000000000007,,,
51.65,1.3000000000000007,,,
51.65,1.5500000000000007,,,
51.65,1.8000000000000007,,,
51.9,-8.2,2.957287671232877,863.1,0.0
51.9,-7.949999999999999,2.92641095890411,855.71,0.0
51.9,-7.699999999999999,,,
51.9,-7.449999999999999,,,
51.9,-7.199999999999999,,,
51.9,-6.949999999999999,,,
51.9,-6.699999999999999,,,
51.9,-6.449999999999999,,,
51.9,-6.199999999999999,,,
51.9,-5.949999999999999,,,
51.9,-5.699999999999999,,,
51.9,-5.449999999999999,,,
51.9,-5.199999999999999,3.0314520547945207,879.6,0.0
51.9,-4.949999999999999,2.8633150684931503,837.21,0.0
51.9,-4.699999999999999,2.8254794520547946,822.68,0.0
51.9,-4.449999999999999,2.8062191780821917,814.1,0.0
51.9,-4.199999999999999,2.733945205479452,795.87,0.0
51.9,-3.9499999999999993,2.6796712328767125,776.48,0.0
51.9,-3.6999999999999993,2.605972602739726,756.9,0.0
51.9,-3.4499999999999993,2.580958904109589,753.92,0.0
51.9,-3.1999999999999993,2.7546575342465753,803.14,0.0
51.9,-2.9499999999999993,2.8405753424657534,826.63,0.0
51.9,-2.6999999999999993,2.867013698630137,830.46,0.0
51.9,-2.4499999999999993,2.8895890410958907,836.22,0.0
51.9,-2.1999999999999993,2.876383561643836,831.75,0.0
51.9,-1.9499999999999993,2.868958904109589,832.74,0.0
51.9,-1.6999999999999993,2.891452054794521,839.6,0.0
51.9,-1.4499999999999993,2.898958904109589,840.04,0.0
51.9,-1.1999999999999993,2.9283013698630134,847.71,0.0
51.9,-0.9499999999999993,2.921205479452055,844.87,0.0
51.9,-0.6999999999999993,2.912547945205479,843.73,0.0
51.9,-0.4499999999999993,2.9091780821917808,842.94,0.0
51.9,-0.1999999999999993,2.919123287671233,845.78,0.0
51.9,0.05000000000000071,2.952465753424658,855.59,0.0
51.9,0.3000000000000007,2.9803013698630134,863.29,0.0
51.9,0.5500000000000007,3.009287671232877,872.69,0.0
51.9,0.8000000000000007,3.0305479452054795,881.03,0.0
51.9,1.0500000000000007,3.104,905.17,0.0
51.9,1.3000000000000007,,,
51.9,1.5500000000000007,,,
51.9,1.8000000000000007,,,
52.15,-8.2,2.7394520547945205,794.67,0.0
52.15,-7.949999999999999,2.7673698630136987,803.37,0.0
52.15,-7.699999999999999,2.8311232876712324,823.61,0.0
52.15,-7.449999999999999,2.910465753424657,847.5,0.0
52.15,-7.199999999999999,2.9116438356164385,847.57,0.0
52.15,-6.949999999999999,,,
52.15,-6.699999999999999,,,
52.15,-6.449999999999999,,,
52.15,-6.199999999999999,,,
52.15,-5.949999999999999,,,
52.15,-5.699999999999999,,,
52.15,-5.449999999999999,,,
52.15,-5.199999999999999,,,
52.15,-4.949999999999999,,,
52.15,-4.699999999999999,,,
52.15,-4.449999999999999,2.755178082191781,802.07,0.0
52.15,-4.199999999999999,2.7256164383561643,793.44,0.0
52.15,-3.9499999999999993,2.592575342465753,751.53,0.0
52.15,-3.6999999999999993,2.5646301369863016,744.95,0.0
52.15,-3.4499999999999993,2.7307671232876713,794.0,0.0
52.15,-3.1999999999999993,2.744657534246575,800.39,0.0
52.15,-2.9499999999999993,2.8347397260273977,823.36,0.0
52.15,-2.6999999999999993,2.863890410958904,828.94,0.0
52.15,-2.4499999999999993,2.845917808219178,824.01,0.0
52.15,-2.1999999999999993,2.8833972602739726,832.7,0.0
52.15,-1.9499999999999993,2.870712328767123,830.62,0.0
52.15,-1.6999999999999993,2.905671232876712,841.68,0.0
52.15,-1.4499999999999993,2.893561643835617,838.87,0.0
52.15,-1.1999999999999993,2.8864931506849314,838.03,0.0
52.15,-0.9499999999999993,2.91213698630137,844.61,0.0
52.15,-0.6999999999999993,2.92441095890411,847.53,0.0
52.15,-0.4499999999999993,2.9195616438356167,844.74,0.0
52.15,-0.1999999999999993,2.9287123287671233,847.91,0.0
52.15,0.05000000000000071,2.952931506849315,855.48,0.0
52.15,0.3000000000000007,2.9363287671232876,851.17,0.0
52.15,0.5500000000000007,2.9545753424657537,856.33,0.0
52.15,0.8000000000000007,2.975945205479452,862.05,0.0
52.15,1.0500000000000007,2.993095890410959,867.88,0.0
52.15,1.3000000000000007,3.035315068493151,881.17,0.0
52.15,1.5500000000000007,3.1143013698630138,909.14,0.0
52.15,1.8000000000000007,,,
52.4,-8.2,2.5764383561643833,747.73,0.0
52.4,-7.949999999999999,2.7077260273972605,786.55,0.0
52.4,-7.699999999999999,2.6315616438356164,761.93,0.0
52.4,-7.449999999999999,2.7498356164383564,796.98,0.0
52.4,-7.199999999999999,2.732383561643836,791.21,0.0
52.4,-6.949999999999999,2.8166301369863014,817.73,0.0
52.4,-6.699999999999999,2.868739726027397,833.63,0.0
52.4,-6.449999999999999,2.9355342465753425,856.85,0.0
52.4,-6.199999999999999,,,
52.4,-5.949999999999999,,,
52.4,-5.699999999999999,,,
52.4,-5.449999999999999,,,
52.4,-5.199999999999999,,,
52.4,-4.949999999999999,,,
52.4,-4.699999999999999,,,
52.4,-4.449999999999999,,,
52.4,-4.199999999999999,,,
52.4,-3.9499999999999993,2.663095890410959,771.01,0.0
52.4,-3.6999999999999993,2.6087397260273972,759.24,0.0
52.4,-3.4499999999999993,2.5935890410958904,756.38,0.0
52.4,-3.1999999999999993,2.666794520547945,779.86,0.0
52.4,-2.9499999999999993,2.778054794520548,809.73,0.0
52.4,-2.6999999999999993,2.7854246575342465,808.82,0.0
52.4,-2.4499999999999993,2.798164383561644,809.88,0.0
52.4,-2.1999999999999993,2.80372602739726,810.5,0.0
52.4,-1.9499999999999993,2.793945205479452,808.48,0.0
52.4,-1.6999999999999993,2.8331232876712327,819.7,0.0
52.4,-1.4499999999999993,2.8306575342465754,820.22,0.0
52.4,-1.1999999999999993,2.8473698630136983,826.02,0.0
52.4,-0.9499999999999993,2.8874520547945206,838.42,0.0
52.4,-0.6999999999999993,2.8997534246575345,841.11,0.0
52.4,-0.4499999999999993,2.9311506849315068,849.3,0.0
52.4,-0.1999999999999993,2.934082191780822,848.89,0.0
52.4,0.05000000000000071,2.9324657534246574,846.9,0.0
52.4,0.3000000000000007,2.920821917808219,843.21,0.0
52.4,0.5500000000000007,2.8792602739726028,831.03,0.0
52.4,0.8000000000000007,2.929150684931507,846.87,0.0
52.4,1.0500000000000007,2.950712328767123,853.79,0.0
52.4,1.3000000000000007,2.9739999999999998,861.62,0.0
52.4,1.5500000000000007,3.0125479452054793,880.34,0.0
52.4,1.8000000000000007,,,
52.65,-8.2,2.627835616438356,762.53,0.0
52.65,-7.949999999999999,2.7146849315068495,787.74,0.0
52.65,-7.699999999999999,2.6654520547945206,772.86,0.0
52.65,-7.449999999999999,2.740904109589041,796.18,0.0
52.65,-7.199999999999999,2.732383561643836,791.22,0.0
52.65,-6.949999999999999,2.6776712328767123,775.01,0.0
52.65,-6.699999999999999,2.7663835616438357,803.29,0.0
52.65,-6.449999999999999,2.8263561643835615,821.43,0.0
52.65,-6.199999999999999,,,
52.65,-5.949999999999999,,,
52.65,-5.699999999999999,,,
52.65,-5.449999999999999,,,
52.65,-5.199999999999999,,,
52.65,-4.949999999999999,,,
52.65,-4.699999999999999,,,
52.65,-4.449999999999999,,,
52.65,-4.199999999999999,,,
