rank,name,site_type,latitude,longitude,score_repd,score_industrial,score_combined,pvout_kwh_kwp,in_protected_area,in_sssi,in_flood_zone,in_grade1_agri,capacity_kwp,annual_gen_kwh,annual_saving_gbp,capex_gbp,payback_yr,npv_gbp,battery_value,fin_score,constraint_score,geo_score,final_score
11,Coalburns STW,wastewater_plant,54.9431111,-1.8006153,0.9914619,0.7286738,0.86006784,762.1669078280001,0,0,0,0,500.0,381083.0,48588.0,500000.0,10.3,90885.0,0.45,0.735,1.0,0.8600678500000001,0.838
12,Brancepeth STW,wastewater_plant,54.7320419,-1.6518948,0.85473657,0.8517888,0.85326266,767.4568434759999,0,0,0,0,500.0,383728.0,48925.0,500000.0,10.2,94986.0,0.45,0.739,1.0,0.853262685,0.837
13,Howdon STW,wastewater_plant,54.9902734,-1.4784107,0.8265213,0.84647536,0.8364983,781.968419316,0,0,0,0,500.0,390984.0,49850.0,500000.0,10.0,106237.0,0.45,0.749,1.0,0.83649833,0.834
14,Lindisfarne Road Sewage Pumping Station,industrial,54.7959559,-1.5650717,0.8997976,0.97199225,0.93589497,772.0918388,0,0,0,0,200.0,154418.0,16214.0,200000.0,12.3,-2821.0,0.6,0.633,1.0,0.9358949249999999,0.828
15,Chester-le-Street Treatment Works,wastewater_plant,54.8606015,-1.566457,0.98328316,0.86322504,0.92325413,773.170568,0,0,0,1,500.0,386585.0,49290.0,500000.0,10.1,99416.0,0.45,0.743,0.8,0.9232541000000001,0.827
16,,pumping_station,51.8495389,0.7148848,0.8686316,0.9923435,0.9304875,880.683335268,0,0,0,0,100.0,88068.0,7926.0,100000.0,12.6,-3609.0,0.75,0.619,1.0,0.93048755,0.82
17,Hepscott STW,wastewater_plant,55.1483502,-1.6413482,0.63145804,0.91660476,0.7740314,778.1158288880002,0,0,0,0,500.0,389058.0,49605.0,500000.0,10.1,103250.0,0.45,0.746,1.0,0.7740314,0.808
18,Heddon-on-the-Wall STW,wastewater_plant,54.988695,-1.7877824,0.89248466,0.84325045,0.8678676,764.07866228,0,0,0,1,500.0,382039.0,48710.0,500000.0,10.3,92367.0,0.45,0.737,0.8,0.867867555,0.802
19,Lynemouth STW,wastewater_plant,55.2112473,-1.5303579,0.68492806,0.8133007,0.7491144,781.466459294,0,0,0,0,500.0,390733.0,49818.0,500000.0,10.0,105848.0,0.45,0.748,1.0,0.74911438,0.799
20,Rain water storage & pumping station (Underground),pumping_station,55.0274965,-1.5209412,0.9495697,0.96048456,0.9550271,782.3772037599999,0,0,0,0,100.0,78238.0,7041.0,100000.0,14.2,-14369.0,0.75,0.54,1.0,0.95502713,0.798
21,,pumping_station,55.1101874,-1.5031505,0.9700703,0.9377135,0.9538919,780.962968614,0,0,0,0,100.0,78096.0,7029.0,100000.0,14.2,-14524.0,0.75,0.539,1.0,0.9538919,0.797
22,Caxton Way Sewage Pumping Station,pumping_station,54.8761049,-1.5689059,0.96633154,0.9199017,0.94311666,773.2758537440001,0,0,0,0,100.0,77328.0,6959.0,100000.0,14.4,-15365.0,0.75,0.532,1.0,0.9431166200000001,0.79
23,Kingsmere Sewage Pumping Station,pumping_station,54.8737634,-1.5767132,0.9556415,0.93283737,0.94423944,772.66727168,0,0,0,0,100.0,77267.0,6954.0,100000.0,14.4,-15432.0,0.75,0.531,1.0,0.9442394350000001,0.79
24,Bran Sands Sewage Treatment Works,wastewater_plant,54.6092642,-1.125102,0.8212065,0.63296807,0.72708726,773.3800268799998,0,0,0,0,500.0,386690.0,49303.0,500000.0,10.1,99579.0,0.45,0.743,1.0,0.727087285,0.788
